skill	category	keywords
repo-intake	repo-learning	repo github clone intake extract curate
official-skill-sync	repo-learning	official skills openai anthropic sync refresh curated
checkpoint	memory	checkpoint memory archive remember ringkas compact
agent-runtime-advanced	runtime	compaction context task graph worker recovery long session
agentic-hub	orchestration	cli command center connector plugin mcp bootstrap
agentic-cli	orchestration	multi repo intake synthesis summary
skill-router	orchestration	route suggest choose skill intent prompt mapping
mcp-manager	tooling	mcp integrate server idea connect support
mcp-server-builder	tooling	build mcp api contract schema server
bootstrap	setup	setup init bootstrap project environment
codebase-onboarding	onboarding	onboard map architecture unfamiliar codebase
focused-fix	engineering	fix bug breakage deep repair end-to-end
spec-driven-workflow	planning	spec requirements acceptance criteria mapping
delivery-pipeline	planning	spec implement findings release gate
tagged-work-intake	planning	tag bracket [feature] [bugfix] intake mode
pr-review-expert	quality	review pr blast radius regression security
tech-debt-tracker	quality	tech debt prioritize remediation
anti-hallucination-suite	quality	accuracy verify hallucination claim grounding audit
anti-hallucination	quality	verify claim uncertainty no guessing
cross-checker	quality	cross check code tests git docs config
source-verifier	quality	evidence source verify file line
confidence-scorer	quality	confidence score certainty trust
citation-enforcer	quality	citation file:line references
uncertainty-detector	quality	uncertain guessing maybe likely
output-auditor	quality	audit accuracy logic completeness safety
context-grounding	quality	grounding read code before claim
truth-finder	quality	truth verify claims code docs git
answer-analyzer	quality	analyze response unsupported contradictions
vibe-tauri	frontend	tauri vibe ui screenshot playwright iterate
structured-rpi\tplanning\trpi research plan implement gate phases
skills-search	tooling	search discover install manage claude code skills ccpm registry
cc-plugins-ops	tooling	plugin marketplace claude plugin install plugin.json versioning slash command
